name,artist,duration_ms
Кто кого? (Харон),Noize MC,117206
"Камера, мотор! (Аид, Фортуна, Орфей)",Noize MC,237500
Орфей vs. Прометей,Noize MC,210000
Wrong Side of Heaven,Five Finger Death Punch,271000
Libre,Alvaro Soler,230986
Die for Metal,Manowar,317106
Искупление Огнем,RADIO TAPOK,265400
I Want to Live,Borislav Slavov,233281
Weeping Dawn,Borislav Slavov,167936
Down by the River,Borislav Slavov,140006
Wonder Woman's Wrath,Rupert Gregson-Williams,246480
Охота на лисицу,Green Apelsin,192380
You Could Be Mine,Guns N' Roses,343640
Кабанчик,В'ячеслав Кукоба,200386
Пуля,Екатерина Яшникова,206451
"Поцелуй меня, я - ирландец (feat. В. Кристовский)",Немного Нервно,171597
Сталкеры,Блуждающие Огни,203127
DJ Vasile,Zdob si Zdub,216346
Инсомния,"Goddamn, JOHAN",220095
Воды Рейна,Земля Легенд,168885
Reverie,Polyphia,242693
アスモデウス・アリス,Various Artists,91733
Лорелей,Сны Саламандры,210376
Круговерть,Woodscream,235800
Уходим к звёздам!,Plamenev,229923
Белоголовый ведьмак,Wallace Band,193044
All We Are,Doro,177613
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,173381
По течению,ИГРА МИРОВ,260000
Рок,ИГРА МИРОВ,320000
Ирландский паб,Wallace Band,156630
Дикая Охота,Канцлер ГИ,192235
Hero,Loda,177087
Islander,Derina Harvey Band,193173
Got It Made,Theory of a Deadman,194666
Kickin It In Tennessee,SMO,268957
Lucid Serpent Dreams,Ruzer,151400
BURN,DJariium,173313
Douche Bag,Limp Bizkit,222186
Drag Me to Hell,Lord Of The Lost,237306
Santa Monica,Theory of a Deadman,246546
Almost Over,Limp Bizkit,278000
Centuries,Fall Out Boy,228360
Tsunami - Radio Edit,"DVBBS, Borgeous",186352
Ezio's Family,"Jesper Kyd, Assassin's Creed",237900
Transcarpathian,Spiritual Seasons,156556
Have A Nice Day,Bon Jovi,229106
Чёрный Джек,Дом Ветров,205687
Say Goodbye,Theory of a Deadman,184893
Ночь серебряной луны,Марлины,192000
I Was Made For Lovin' You,KISS,271240
Lambé An Dro,Bodh’aktan,201800
Геймер,Plamenev,232440
The Banjo Beat,HAYASA G,102000
Snake Eyes,Feint,264834
Полярный лис,Канцлер ГИ,154911
Mébh's Tune,"Bruno Coulais, Kíla, AURORA",184773
Courtesy Call,Thousand Foot Krutch,236898
Чёрная магия,Bagira,202874
Bad Man,Disturbed,202379
Americana,The Offspring,195160
Second Chance,Shinedown,222066
Hated You from Hello,Downplay,169786
Staring At The Sun,The Offspring,133586
Evolve / Become,Sacred Mother Tongue,232107
うっせぇわ - Giga Remix,Ado,190344
Turn Back,Prozak,217600
In My Mind,"Dynoro, Gigi D'Agostino",184560
Old Town Road,Lil Nas X,113000
Invisible Man,Theory of a Deadman,161893
Diggy Diggy Hole,Wind Rose,315986
Bottoms Up,Nickelback,217426
Welcome To The Jungle,Guns N' Roses,273480
Bones,Imagine Dragons,165264
You Spin Me Round (Like A Record),Dope,163666
Living After Midnight,Judas Priest,210133
Стены Цитадели,Fun Mode,205714
Ваша Честь,Йовин,95059
Rockstar,Blue Stahli,225800
Огонь,Дом Ветров,235636
So What,P!nk,215160
Make Me Wanna Die,The Pretty Reckless,235653
Fallback,GOMAD! & MONSTER,201146
Bully,Shinedown,242746
Holiday / Boulevard of Broken Dreams,Green Day,493400
Savages (feat. Alice Cooper),Theory of a Deadman,213213
Legion of Monsters,Disturbed,263640
Lil Bit,"Nelly, Florida Georgia Line",195962
Бессонница,Дом Ветров,374464
Fight Like the Devil,Onlap,254169
Born This Way,Thousand Foot Krutch,205978
Warbringer,"TheFatRat, Everen Maxwell",219000
Everybody Loves Me,OneRepublic,214400
What Goes Around...Comes Around - Radio Edit,Justin Timberlake,313133
EVIL DOESN'T SLUMBER,"HENSEI, TREMXRSENSE.",126433
Misery of Mankind,Theory of a Deadman,203546
Adelante - Anton Lacosta Remix,Otilia,187215
Le loup le renard et la belette,Kate Mcmayland and Her Orchestra,160426
My Town,Demun Jones,196488
Iron Man,Black Sabbath,354773
Rockhill,Beltaine,202657
Rasputin,Turisas,233520
Sound of Madness,Shinedown,233986
Earthquake,Family Force 5,185933
Flatliner (feat. Dierks Bentley),Cole Swindell,177066
Dem Na Like Me,The Qemists,277040
Innervision,System Of A Down,153773
Monody - Radio Edit,TheFatRat,252213
We Got It Going On,Bon Jovi,253480
Le Deux,Hollywood Undead,224973
"Dance, Dance",Fall Out Boy,180266
T.N.T.,AC/DC's Greatest Tribute Band,216500
Balader,Sexion d'Assaut,246520
Shake It Off,Taylor Swift,219200
Innocence,Disturbed,271280
"Better Hide, Better Run (feat. Mark Johns)",The Glitch Mob,253306
Senpai (feat. Hentai Dude),Shiki-TMNS,172564
Sharp Dressed Man,ZZ Top,251946
One Punch Man: Theme Song: The Hero!!,Geek Music,223500
Techno Syndrome,Niall Stenson,157152
Shake That,Eminem,274440
The Temple Of The King,Rainbow,282013
American Ride,Toby Keith,165693
How You Remind Me,Nickelback,223840
Tremor - Sensation 2014 Anthem,"Dimitri Vegas, Martin Garrix, Like Mike",294374
Love Bites (So Do I),Halestorm,191333
Bad Trip,Asper X,215117
Проклятие русалки,Green Apelsin,222435
Ievan Polkka,Korpiklaani,188400
Samedy,"Канцлер ГИ, Bregan D'Ert",153673
Freakshow,Skillet,278800
Gunfight,Sick Puppies,175720
Мизантроп-рэп,Noize MC,176666
Decadence,Disturbed,204786
Welcome to the Family,Avenged Sevenfold,245573
Everyday,Bon Jovi,179920
Hungarian,Gilead,224466
The Chain,Taking Dawn,261253
Enough,Disturbed,259946
Toss a Coin to Your Witcher,Alexander Shalyapin,180571
It's Dangerous to Go Alone,Starbomb,161436
Камень,Андрей Лефлер,215799
Na Na Na (Na Na Na Na Na Na Na Na Na) - Single Version,My Chemical Romance,203426
No Way Out,Theory of a Deadman,209000
Awake and Alive,Skillet,209493
Ieva'S Polka,Korpiklaani,188360
Feed the Machine,Nickelback,302135
Wanted Dead Or Alive,Bon Jovi,308666
Believer,Imagine Dragons,204346
Я так боюсь... - Песня оборотня,Марлины,227491
Just Lose It,Eminem,248680
You Give Love A Bad Name,Bon Jovi,222706
Higher,The Score,214613
Why Don't You Get A Job,The Offspring,172466
Mr. Toot,Ylvis,171933
"Die, Die My Darling",Metallica,146560
Dragon Age Origins,EA Games Soundtrack,169053
Лига легенд,Noize MC,218482
Next Go Round,Nickelback,223893
Сокрушить Великих!,Plamenev,289142
I'm Back,Dope,205426
Riot Maker,Tech N9ne,331480
Smoke Banshee,Clutch,211493
Инструктор из НАТО,Neverlove,157278
За гранью,Louna,233446
Love Me Or Hate Me,Various Artists,210413
Волкодав,Мельница,301173
"Юра, прости",The Starkillers,198596
Give It To Me,Timbaland,234026
Hungarian,Spiritual Seasons,164815
Head Bangeeeeerrrrr!!!!!,BABYMETAL,242880
Legends Are Made,Sam Tinnesz,169758
Yahata,HEADLINK,160961
I'm a Hurricane,Wellmess,204597
Panic Room,Theory of a Deadman,194160
Up In The Air,Thirty Seconds To Mars,275786
Dani California,Red Hot Chili Peppers,282160
Living Dead Girl,Rob Zombie,201400
Play with Fire,WAR*HALL,211402
Skudrinka,Gilead,235262
"Erza's Theme - From ""Fairy Tail""",Gabriele Motta,175890
Про Приста,Fun Mode,278666
Bad Guy,Ankor,194055
Infinite Power,TheFatRat,208787
Prisoner,NEEDTOBREATHE,195226
Make Some Noize - Single Edit,Noize MC,213287
Omen,The Prodigy,216026
Listen Friend,Above Only,272281
Хакну,Александр Пушной,141314
Let the Sparks Fly,Thousand Foot Krutch,246131
My Town,Hollywood Undead,216400
Bites the Dust,Darrell Story,170710
Ma Baker,Knorkator,222226
For Honor,Peyton Parrish,225798
The Sex Is Good - Rock,Saving Abel,215186
Worlds on Fire,Skindred,211402
Me and My Girl,Theory of a Deadman,220440
Death by Rock and Roll,The Pretty Reckless,234476
A Welcome Burden,Disturbed,211786
Superman,Lazlo Bane,225080
The Sex Is Good,Saving Abel,211453
U Can't Touch This,MC Hammer,257359
Iron Head,Rob Zombie,251200
Mercy,Adam Jensen,191343
Hiding In The Blue,"TheFatRat, RIELL",221700
Kolybelnaya,Natural Spirit,338146
Duck Tales,Punk Rock Factory,122011
Sakazukigoto,quotam.,187206
The Fields of Ard Skellig,Angèle Macabiès,174782
Change,Black Stone Cherry,183226
Self Esteem,The Offspring,257826
Супер Тамара,ЭЛЕКТРОСЛАБОСТЬ,156000
The Animal,Disturbed,253813
Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",208133
Skyrim Theme (Dragonborn),Celtic Woman,191739
Don't Tell Me How To Live,Kid Rock,244080
Forever Shamed,Godsmack,203800
Джекилл и Хайд,Дайте Два,183493
Я - котик,Капитан О'Мар,211991
16 Tons,Tennessee Ernie Ford,155324
Would You Love A Monsterman,Lordi,182160
"Эй, ухнем!",Александр Пушной,258350
Бродяга,Хелависа,174880
G.O.A.T,Theory of a Deadman,248600
Voodoo Child,Tom Morello,312262
Black Jesus,Everlast,281613
Pride & Fear,"TheFatRat, RIELL",166802
Lean On,"Major Lazer, Diplo",176561
Habits (Stay High) - Acoustic,Theory of a Deadman,214385
Getting Along,Royal Republic,137306
Тыщатыщ,Noize MC,211240
The Dawn Will Come,Rachel Hardy,135595
In The Middle,Sugababes,237986
Would You...?,Touch & Go,191066
Make Me Worse,Kings Of The City,206399
Drop You Like,DELAX,134710
Колизей,Aria,373966
Обряд,Мельница,292569
Hard Skool,Guns N' Roses,221892
Move Bitch,Ludacris,270866
Roots,Jay Smith,222000
My Father's Son,Joe Cocker,269773
Vilify,Device,219773
Hell,Disturbed,255133
Grótti,SKÁLD,173066
So Hott,Kid Rock,246640
Край небесных творцов,Вольный Путь,277123
Ladies Come First,Hinder,182146
Assassins Creed 2 - Ezio's Family Theme,Geek Music,232619
Bad Company,Five Finger Death Punch,262440
Война перемен,Everblack Melodies,210000
Rusted From the Rain,Billy Talent,253306
Rise,Skillet,260786
Драгула,RADIO TAPOK,226027
Dum Dee Dum Remix,A.J. Willis,162003
Never Wrong,Disturbed,213053
One Night,Jeris Johnson,163492
One Time,Marian Hill,217613
Fight for All the Wrong Reasons,Nickelback,224280
Hate You,"Jim Yosef, RIELL",197944
Монстр,RADIO TAPOK,181307
Morirò da Re,Måneskin,157880
Tainted Love,Scorpions,207506
The Temple of the King,Various Artists,277053
Ghost Town,"Layto, Neoni",193846
Send Me An Angel,Scorpions,273333
Beautiful Lies - VIP,B-complex,419310
Heaven's On Fire,KISS,201400
Freaks - Radio Edit,Various Artists,169373
Broken Lady,"VØJ, TRVNSPORTER",148593
Everywhere I Go,Hollywood Undead,210466
4 Minutes (feat. Justin Timberlake and Timbaland),Madonna,245080
Golden Empire feat. Zitaa - Original Mix,Apashe,360441
Get Paid,Emphatic,177853
Been To Hell,Hollywood Undead,203160
She Loves Me Not,Papa Roach,209572
Это Пве,Fun Mode,172048
Mad World,Michael Andrews,184813
Кто главный растаман страны?,Марлины,176083
Keep It 100,3FOR3,181781
Sin,Manntra,229573
Everybody Knows,Wild Fire,252625
Have Love Will Travel (feat. Flo Mega),Lefties Soul Connection,188409
Geralt of Rivia,"Sonya Belousova, Giona Ostinelli",112186
Василиск,Марлины,124675
I Do,Chingy,237958
Juke Box Hero / I Love Rock 'n' Roll,Tom Cruise,143266
Everybody Walkin' This Land,Home Free,187371
Word Up - Cameo Cover,"Devil's Train, Mystic Prophecy",199484
Bombs Away,Prozak,189373
Burn It to the Ground,Nickelback,212346
Paranoid,Black Sabbath,168440
Walkers,SPLITBREED,213617
The River,Various Artists,215699
Тризна,HELVEGEN,191454
Rock & Roll Queen - Radio Edit,The Subways,168693
Gotta Get Me Some,Nickelback,221680
Blinding Lights,Saint Asonia,183357
